productid,date,item,transid,month,weekday
9585,12/22/2015,red/blush wine,416216791,12,Tuesday
2464,7/1/2015,sausage,227016617,7,Wednesday
7325,11/3/2015,tropical fruit,482916742,11,Tuesday
9585,04/14/2015,red/blush wine,381116539,4,Tuesday
2199,09/29/2015,whole milk,476616707,9,Tuesday
4549,4/12/2015,frankfurter,243616537,4,Sunday
2199,5/5/2015,whole milk,386016560,5,Tuesday
7434,5/12/2015,frozen potato products,487516567,5,Tuesday
1733,7/1/2015,other vegetables,158716617,7,Wednesday
6341,7/8/2015,citrus fruit,403816624,7,Wednesday
3227,09/21/2015,flour,475016699,9,Monday
9048,12/10/2015,sugar,119916779,12,Thursday
7240,09/30/2015,frozen meals,160316708,9,Wednesday
8014,01/31/2015,chocolate,311116466,1,Saturday
1851,12/13/2015,root vegetables,389416782,12,Sunday
1851,09/18/2015,root vegetables,145616696,9,Friday
6415,3/4/2015,herbs,202216498,3,Wednesday
8147,11/30/2015,bottled water,250516769,11,Monday
2464,12/20/2015,sausage,485116789,12,Sunday
3059,8/4/2015,coffee,429316651,8,Tuesday
7292,11/6/2015,pork,277516745,11,Friday
1123,02/18/2015,berries,369316484,2,Wednesday
5655,07/22/2015,soda,120216638,7,Wednesday
1123,08/23/2015,berries,369916670,8,Sunday
2155,04/15/2015,fruit/vegetable juice,415216540,4,Wednesday
6341,01/26/2015,citrus fruit,415516461,1,Monday
7292,12/29/2015,pork,401016798,12,Tuesday
7333,10/20/2015,detergent,438916728,10,Tuesday
5324,08/17/2015,grapes,374616664,8,Monday
2464,05/17/2015,sausage,256016572,5,Sunday
2379,07/25/2015,chicken,150316641,7,Saturday
2199,12/23/2015,whole milk,255516792,12,Wednesday
6341,12/12/2015,citrus fruit,364516781,12,Saturday
5655,9/11/2015,soda,388616689,9,Friday
2464,03/20/2015,sausage,293216514,3,Friday
4549,06/18/2015,frankfurter,171116604,6,Thursday
2464,12/8/2015,sausage,429116777,12,Tuesday
5655,04/25/2015,soda,114316550,4,Saturday
8730,7/8/2015,rolls/buns,456416624,7,Wednesday
8144,05/14/2015,beef,333716569,5,Thursday
2199,5/4/2015,whole milk,493116559,5,Monday
1902,10/10/2015,processed cheese,262316718,10,Saturday
7325,4/3/2015,tropical fruit,458116528,4,Friday
4549,6/11/2015,frankfurter,263516597,6,Thursday
8128,10/30/2015,packaged fruit/vegetables,109516738,10,Friday
2199,05/23/2015,whole milk,299016578,5,Saturday
1123,6/5/2015,berries,242616591,6,Friday
6341,11/7/2015,citrus fruit,455516746,11,Saturday
7325,9/4/2015,tropical fruit,363516682,9,Friday
4417,05/18/2015,hamburger meat,305816573,5,Monday
4417,03/26/2015,hamburger meat,439116520,3,Thursday
2199,06/23/2015,whole milk,130616609,6,Tuesday
9078,8/10/2015,fish,102416657,8,Monday
4549,07/23/2015,frankfurter,129516639,7,Thursday
8128,6/1/2015,packaged fruit/vegetables,166116587,6,Monday
8093,05/15/2015,pastry,459116570,5,Friday
1733,06/14/2015,other vegetables,316916600,6,Sunday
2400,05/21/2015,misc. beverages,391516576,5,Thursday
4549,01/14/2015,frankfurter,112716449,1,Wednesday
3958,8/8/2015,sparkling wine,482816655,8,Saturday
9782,6/10/2015,specialty bar,368316596,6,Wednesday
2464,09/18/2015,sausage,197116696,9,Friday
6219,11/11/2015,curd cheese,301416750,11,Wednesday
4549,09/15/2015,frankfurter,377916693,9,Tuesday
2199,5/4/2015,whole milk,248916559,5,Monday
2789,06/27/2015,newspapers,356416613,6,Saturday
1123,09/30/2015,berries,409216708,9,Wednesday
5468,01/13/2015,curd,322116448,1,Tuesday
7325,9/6/2015,tropical fruit,127916684,9,Sunday
5655,08/22/2015,soda,258116669,8,Saturday
8730,02/25/2015,rolls/buns,229516491,2,Wednesday
8479,02/22/2015,canned beer,476016488,2,Sunday
8479,01/16/2015,canned beer,364916451,1,Friday
4549,11/19/2015,frankfurter,107516758,11,Thursday
1733,08/19/2015,other vegetables,398716666,8,Wednesday
2199,08/25/2015,whole milk,410616672,8,Tuesday
2199,06/24/2015,whole milk,433816610,6,Wednesday
6341,11/6/2015,citrus fruit,416616745,11,Friday
4549,3/10/2015,frankfurter,121116504,3,Tuesday
4549,01/21/2015,frankfurter,395416456,1,Wednesday
3578,07/18/2015,butter milk,392816634,7,Saturday
4417,09/30/2015,hamburger meat,382716708,9,Wednesday
5409,2/8/2015,pasta,469916474,2,Sunday
1733,6/8/2015,other vegetables,474716594,6,Monday
2464,6/9/2015,sausage,302816595,6,Tuesday
8730,03/16/2015,rolls/buns,285116510,3,Monday
5324,02/25/2015,grapes,441716491,2,Wednesday
1851,3/7/2015,root vegetables,382216501,3,Saturday
3059,05/31/2015,coffee,228816586,5,Sunday
7610,06/30/2015,popcorn,218416616,6,Tuesday
2199,08/27/2015,whole milk,455416674,8,Thursday
7325,3/5/2015,tropical fruit,336116499,3,Thursday
8144,04/17/2015,beef,299916542,4,Friday
2199,06/25/2015,whole milk,261416611,6,Thursday
4549,6/5/2015,frankfurter,406416591,6,Friday
7325,10/4/2015,tropical fruit,356716712,10,Sunday
8479,5/7/2015,canned beer,258716562,5,Thursday
5190,06/17/2015,finished products,378316603,6,Wednesday
7271,02/14/2015,beverages,192316480,2,Saturday
4417,02/19/2015,hamburger meat,483516485,2,Thursday
2199,08/24/2015,whole milk,151416671,8,Monday
5190,06/22/2015,finished products,315416608,6,Monday
1733,12/25/2015,other vegetables,131316794,12,Friday
9301,07/18/2015,ham,279416634,7,Saturday
1733,4/9/2015,other vegetables,235916534,4,Thursday
5468,3/9/2015,curd,223816503,3,Monday
5930,01/17/2015,bottled beer,379516452,1,Saturday
5468,11/26/2015,curd,372416765,11,Thursday
2199,3/5/2015,whole milk,115216499,3,Thursday
2199,03/16/2015,whole milk,455916510,3,Monday
1592,02/27/2015,dessert,392216493,2,Friday
2464,04/22/2015,sausage,170916547,4,Wednesday
1733,04/17/2015,other vegetables,221916542,4,Friday
9301,10/17/2015,ham,220616725,10,Saturday
1733,4/6/2015,other vegetables,175216531,4,Monday
1733,11/10/2015,other vegetables,394216749,11,Tuesday
5655,08/17/2015,soda,329616664,8,Monday
6415,2/5/2015,herbs,225716471,2,Thursday
4549,07/28/2015,frankfurter,431316644,7,Tuesday
8730,08/21/2015,rolls/buns,200116668,8,Friday
5468,7/8/2015,curd,244916624,7,Wednesday
4549,4/12/2015,frankfurter,491416537,4,Sunday
1733,07/24/2015,other vegetables,276416640,7,Friday
1508,5/9/2015,dog food,418716564,5,Saturday
9782,04/20/2015,specialty bar,139216545,4,Monday
5468,04/28/2015,curd,342716553,4,Tuesday
4549,02/20/2015,frankfurter,141116486,2,Friday
5655,11/14/2015,soda,339016753,11,Saturday
8144,8/1/2015,beef,478716648,8,Saturday
8479,01/17/2015,canned beer,331016452,1,Saturday
7292,10/10/2015,pork,178216718,10,Saturday
4549,04/26/2015,frankfurter,337516551,4,Sunday
2464,1/7/2015,sausage,276016442,1,Wednesday
8479,09/13/2015,canned beer,424916691,9,Sunday
8919,6/6/2015,specialty chocolate,290416592,6,Saturday
5468,02/26/2015,curd,409016492,2,Thursday
8479,7/5/2015,canned beer,306016621,7,Sunday
2199,10/7/2015,whole milk,376816715,10,Wednesday
8730,01/21/2015,rolls/buns,123216456,1,Wednesday
7292,10/23/2015,pork,136016731,10,Friday
6341,10/1/2015,citrus fruit,110716709,10,Thursday
6059,11/4/2015,pot plants,286516743,11,Wednesday
8730,06/14/2015,rolls/buns,295816600,6,Sunday
6095,7/12/2015,butter,244816628,7,Sunday
8694,09/24/2015,condensed milk,122216702,9,Thursday
2464,06/20/2015,sausage,294316606,6,Saturday
2199,8/11/2015,whole milk,227016658,8,Tuesday
2464,07/21/2015,sausage,381216637,7,Tuesday
7271,11/22/2015,beverages,148216761,11,Sunday
7271,02/22/2015,beverages,472016488,2,Sunday
8147,9/4/2015,bottled water,134416682,9,Friday
2789,10/4/2015,newspapers,239716712,10,Sunday
6815,5/12/2015,cleaner,418216567,5,Tuesday
2464,7/10/2015,sausage,448716626,7,Friday
2789,12/24/2015,newspapers,346716793,12,Thursday
2464,11/15/2015,sausage,244316754,11,Sunday
2400,01/27/2015,misc. beverages,274916462,1,Tuesday
9970,04/13/2015,white wine,438916538,4,Monday
2464,12/4/2015,sausage,167416773,12,Friday
1821,10/16/2015,meat,426216724,10,Friday
4549,4/7/2015,frankfurter,208216532,4,Tuesday
7353,1/6/2015,ice cream,449416441,1,Tuesday
8479,09/28/2015,canned beer,246016706,9,Monday
7325,11/29/2015,tropical fruit,450916768,11,Sunday
1821,7/3/2015,meat,226716619,7,Friday
2199,9/5/2015,whole milk,489116683,9,Saturday
2464,09/20/2015,sausage,396216698,9,Sunday
4549,07/18/2015,frankfurter,496416634,7,Saturday
1821,11/30/2015,meat,291416769,11,Monday
1851,5/5/2015,root vegetables,280816560,5,Tuesday
1851,08/15/2015,root vegetables,108516662,8,Saturday
2199,08/18/2015,whole milk,380816665,8,Tuesday
6341,1/7/2015,citrus fruit,414916442,1,Wednesday
6341,6/5/2015,citrus fruit,233116591,6,Friday
1733,4/3/2015,other vegetables,447516528,4,Friday
6341,04/25/2015,citrus fruit,276116550,4,Saturday
2464,12/14/2015,sausage,262016783,12,Monday
4549,10/13/2015,frankfurter,320616721,10,Tuesday
8269,04/13/2015,hard cheese,122616538,4,Monday
5739,3/7/2015,cream cheese,139516501,3,Saturday
2456,6/7/2015,turkey,246516593,6,Sunday
7292,7/9/2015,pork,357216625,7,Thursday
2199,5/8/2015,whole milk,438716563,5,Friday
8730,03/27/2015,rolls/buns,155516521,3,Friday
2464,11/16/2015,sausage,118116755,11,Monday
7353,5/11/2015,ice cream,281416566,5,Monday
8531,09/16/2015,liquor,279416694,9,Wednesday
3472,01/28/2015,pip fruit,291216463,1,Wednesday
1851,1/12/2015,root vegetables,466716447,1,Monday
5655,10/25/2015,soda,223516733,10,Sunday
5655,5/2/2015,soda,235316557,5,Saturday
2464,3/8/2015,sausage,344916502,3,Sunday
1851,11/10/2015,root vegetables,105816749,11,Tuesday
7292,05/17/2015,pork,102716572,5,Sunday
7292,05/22/2015,pork,330216577,5,Friday
8014,05/30/2015,chocolate,222916585,5,Saturday
2155,08/15/2015,fruit/vegetable juice,218816662,8,Saturday
3981,04/18/2015,pickled vegetables,154716543,4,Saturday
8147,06/30/2015,bottled water,164916616,6,Tuesday
4549,9/10/2015,frankfurter,325416688,9,Thursday
7325,11/7/2015,tropical fruit,281816746,11,Saturday
8479,5/8/2015,canned beer,270316563,5,Friday
1851,01/31/2015,root vegetables,333216466,1,Saturday
1821,7/1/2015,meat,247316617,7,Wednesday
4549,12/30/2015,frankfurter,281016799,12,Wednesday
7325,04/22/2015,tropical fruit,103316547,4,Wednesday
7325,05/27/2015,tropical fruit,422216582,5,Wednesday
6341,09/21/2015,citrus fruit,367916699,9,Monday
4417,08/27/2015,hamburger meat,221216674,8,Thursday
2379,06/22/2015,chicken,150716608,6,Monday
2379,01/21/2015,chicken,287016456,1,Wednesday
4549,04/26/2015,frankfurter,342916551,4,Sunday
8479,4/9/2015,canned beer,414816534,4,Thursday
2456,12/30/2015,turkey,297016799,12,Wednesday
8128,08/30/2015,packaged fruit/vegetables,201316677,8,Sunday
5409,05/30/2015,pasta,396716585,5,Saturday
6341,05/15/2015,citrus fruit,288516570,5,Friday
2464,7/2/2015,sausage,393516618,7,Thursday
2199,5/1/2015,whole milk,328316556,5,Friday
8479,11/6/2015,canned beer,326816745,11,Friday
6341,04/30/2015,citrus fruit,367716555,4,Thursday
7612,06/27/2015,liquor (appetizer),349516613,6,Saturday
6341,10/4/2015,citrus fruit,141016712,10,Sunday
2464,6/6/2015,sausage,244016592,6,Saturday
2379,01/13/2015,chicken,408816448,1,Tuesday
4417,09/23/2015,hamburger meat,246916701,9,Wednesday
2464,3/6/2015,sausage,422916500,3,Friday
8144,8/2/2015,beef,272816649,8,Sunday
6341,01/25/2015,citrus fruit,469416460,1,Sunday
2224,12/29/2015,UHT-milk,283616798,12,Tuesday
7969,2/12/2015,candy,131116478,2,Thursday
2789,01/23/2015,newspapers,176016458,1,Friday
8144,3/2/2015,beef,365616496,3,Monday
2464,05/28/2015,sausage,372016583,5,Thursday
4549,09/26/2015,frankfurter,299616704,9,Saturday
8479,07/22/2015,canned beer,194916638,7,Wednesday
5930,2/11/2015,bottled beer,449816477,2,Wednesday
9677,12/28/2015,onions,244716797,12,Monday
7325,03/23/2015,tropical fruit,195216517,3,Monday
8147,01/27/2015,bottled water,409916462,1,Tuesday
8144,3/12/2015,beef,180416506,3,Thursday
2464,05/16/2015,sausage,151016571,5,Saturday
4335,04/18/2015,hair spray,287916543,4,Saturday
2379,3/12/2015,chicken,489916506,3,Thursday
7292,09/29/2015,pork,432616707,9,Tuesday
7353,05/17/2015,ice cream,167016572,5,Sunday
1821,05/24/2015,meat,111716579,5,Sunday
1733,4/3/2015,other vegetables,134616528,4,Friday
8147,11/15/2015,bottled water,117816754,11,Sunday
7325,06/25/2015,tropical fruit,164916611,6,Thursday
8632,06/21/2015,photo/film,465116607,6,Sunday
2464,4/2/2015,sausage,424316527,4,Thursday
5324,07/21/2015,grapes,442916637,7,Tuesday
3893,07/25/2015,domestic eggs,464516641,7,Saturday
8730,07/24/2015,rolls/buns,401916640,7,Friday
7325,04/26/2015,tropical fruit,445916551,4,Sunday
2379,12/27/2015,chicken,300616796,12,Sunday
4549,09/17/2015,frankfurter,183416695,9,Thursday
1123,7/4/2015,berries,323616620,7,Saturday
7665,3/11/2015,margarine,176516505,3,Wednesday
7325,3/9/2015,tropical fruit,385516503,3,Monday
9301,11/28/2015,ham,439216767,11,Saturday
4417,07/26/2015,hamburger meat,333016642,7,Sunday
2703,9/2/2015,yogurt,172316680,9,Wednesday
5655,03/30/2015,soda,411016524,3,Monday
2703,01/28/2015,yogurt,260016463,1,Wednesday
5655,10/7/2015,soda,294616715,10,Wednesday
8147,9/8/2015,bottled water,242616686,9,Tuesday
2464,5/3/2015,sausage,417016558,5,Sunday
6341,4/6/2015,citrus fruit,110916531,4,Monday
1172,1/4/2015,shopping bags,342916439,1,Sunday
2789,2/4/2015,newspapers,205516470,2,Wednesday
4549,09/20/2015,frankfurter,248016698,9,Sunday
2464,05/30/2015,sausage,244116585,5,Saturday
4549,10/4/2015,frankfurter,105416712,10,Sunday
7606,1/11/2015,salt,481816446,1,Sunday
4155,01/21/2015,oil,337916456,1,Wednesday
5468,2/10/2015,curd,393916476,2,Tuesday
1733,8/5/2015,other vegetables,136716652,8,Wednesday
6341,1/10/2015,citrus fruit,104316445,1,Saturday
4549,10/17/2015,frankfurter,223116725,10,Saturday
1851,12/28/2015,root vegetables,323516797,12,Monday
7325,07/16/2015,tropical fruit,455416632,7,Thursday
8144,01/24/2015,beef,324516459,1,Saturday
1123,05/19/2015,berries,299616574,5,Tuesday
8479,1/5/2015,canned beer,250716440,1,Monday
8853,10/25/2015,whipped/sour cream,418616733,10,Sunday
1851,04/28/2015,root vegetables,392916553,4,Tuesday
2199,11/22/2015,whole milk,376016761,11,Sunday
8144,08/18/2015,beef,492816665,8,Tuesday
7461,12/18/2015,frozen vegetables,421716787,12,Friday
8730,2/11/2015,rolls/buns,117416477,2,Wednesday
2199,06/19/2015,whole milk,410316605,6,Friday
2199,03/13/2015,whole milk,440816507,3,Friday
6341,12/28/2015,citrus fruit,258816797,12,Monday
8093,11/11/2015,pastry,259816750,11,Wednesday
4549,12/11/2015,frankfurter,151816780,12,Friday
7325,4/8/2015,tropical fruit,270216533,4,Wednesday
4549,01/20/2015,frankfurter,100116455,1,Tuesday
1123,09/30/2015,berries,227016708,9,Wednesday
8730,11/10/2015,rolls/buns,283816749,11,Tuesday
1851,05/26/2015,root vegetables,168316581,5,Tuesday
2703,4/3/2015,yogurt,404016528,4,Friday
1733,08/23/2015,other vegetables,389716670,8,Sunday
1123,3/11/2015,berries,220016505,3,Wednesday
1123,01/29/2015,berries,407316464,1,Thursday
1733,04/19/2015,other vegetables,370016544,4,Sunday
8730,6/10/2015,rolls/buns,397316596,6,Wednesday
9301,7/6/2015,ham,271516622,7,Monday
2199,11/23/2015,whole milk,396716762,11,Monday
7325,9/3/2015,tropical fruit,400216681,9,Thursday
8147,3/1/2015,bottled water,296216495,3,Sunday
3578,12/25/2015,butter milk,434016794,12,Friday
2789,11/6/2015,newspapers,209216745,11,Friday
3059,05/24/2015,coffee,314316579,5,Sunday
5930,10/3/2015,bottled beer,220916711,10,Saturday
9677,08/22/2015,onions,281616669,8,Saturday
4417,6/1/2015,hamburger meat,265916587,6,Monday
2464,10/13/2015,sausage,158816721,10,Tuesday
8269,10/15/2015,hard cheese,114416723,10,Thursday
2464,12/10/2015,sausage,216616779,12,Thursday
4417,10/6/2015,hamburger meat,330016714,10,Tuesday
9677,1/3/2015,onions,394416438,1,Saturday
3059,04/24/2015,coffee,497916549,4,Friday
1172,01/21/2015,shopping bags,263016456,1,Wednesday
2703,04/29/2015,yogurt,424016554,4,Wednesday
5655,7/8/2015,soda,235716624,7,Wednesday
8155,04/18/2015,sliced cheese,174316543,4,Saturday
2464,02/15/2015,sausage,233116481,2,Sunday
2703,04/28/2015,yogurt,164316553,4,Tuesday
3893,03/20/2015,domestic eggs,129116514,3,Friday
2199,7/4/2015,whole milk,367516620,7,Saturday
1821,11/6/2015,meat,413416745,11,Friday
1341,06/21/2015,dish cleaner,136316607,6,Sunday
1733,5/1/2015,other vegetables,421216556,5,Friday
2199,03/21/2015,whole milk,150016515,3,Saturday
1733,10/1/2015,other vegetables,262216709,10,Thursday
7325,03/18/2015,tropical fruit,354316512,3,Wednesday
6098,05/24/2015,baking powder,252516579,5,Sunday
9782,10/12/2015,specialty bar,126416720,10,Monday
7353,7/6/2015,ice cream,360116622,7,Monday
4549,03/23/2015,frankfurter,177116517,3,Monday
8479,2/6/2015,canned beer,469416472,2,Friday
8147,12/21/2015,bottled water,112216790,12,Monday
1733,8/12/2015,other vegetables,350716659,8,Wednesday
6341,04/26/2015,citrus fruit,452416551,4,Sunday
2464,09/27/2015,sausage,361216705,9,Sunday
3893,6/11/2015,domestic eggs,326216597,6,Thursday
7292,01/25/2015,pork,189716460,1,Sunday
9825,10/30/2015,specialty cheese,165616738,10,Friday
7292,1/10/2015,pork,395316445,1,Saturday
8144,06/21/2015,beef,148816607,6,Sunday
1733,03/17/2015,other vegetables,165216511,3,Tuesday
2379,09/16/2015,chicken,495316694,9,Wednesday
5655,04/30/2015,soda,344516555,4,Thursday
2199,03/15/2015,whole milk,318016509,3,Sunday
8730,9/6/2015,rolls/buns,493416684,9,Sunday
5930,04/27/2015,bottled beer,298016552,4,Monday
1851,02/13/2015,root vegetables,276316479,2,Friday
8093,3/4/2015,pastry,481916498,3,Wednesday
1123,7/2/2015,berries,316916618,7,Thursday
6341,3/11/2015,citrus fruit,185016505,3,Wednesday
2199,12/29/2015,whole milk,428516798,12,Tuesday
5655,08/13/2015,soda,436616660,8,Thursday
8147,06/16/2015,bottled water,225316602,6,Tuesday
7325,3/11/2015,tropical fruit,339816505,3,Wednesday
7762,07/22/2015,salty snack,221516638,7,Wednesday
8147,3/3/2015,bottled water,373716497,3,Tuesday
8014,11/28/2015,chocolate,264916767,11,Saturday
6341,8/7/2015,citrus fruit,320316654,8,Friday
8147,02/16/2015,bottled water,426116482,2,Monday
9677,07/17/2015,onions,243516633,7,Friday
1592,08/21/2015,dessert,204616668,8,Friday
8144,2/11/2015,beef,426716477,2,Wednesday
8730,12/28/2015,rolls/buns,108616797,12,Monday
8144,1/4/2015,beef,199216439,1,Sunday
5655,07/26/2015,soda,362216642,7,Sunday
3059,06/27/2015,coffee,470016613,6,Saturday
8730,05/16/2015,rolls/buns,227216571,5,Saturday
7292,05/19/2015,pork,166316574,5,Tuesday
5655,6/3/2015,soda,251916589,6,Wednesday
2464,10/30/2015,sausage,263916738,10,Friday
8144,04/19/2015,beef,146616544,4,Sunday
2199,10/23/2015,whole milk,412216731,10,Friday
7292,04/15/2015,pork,359816540,4,Wednesday
1123,8/10/2015,berries,309716657,8,Monday
2464,09/19/2015,sausage,187316697,9,Saturday
8147,2/1/2015,bottled water,153716467,2,Sunday
7325,03/25/2015,tropical fruit,396016519,3,Wednesday
6415,06/15/2015,herbs,113616601,6,Monday
2703,12/21/2015,yogurt,245316790,12,Monday
6348,02/15/2015,Instant food products,174616481,2,Sunday
8919,6/9/2015,specialty chocolate,357216595,6,Tuesday
3059,06/24/2015,coffee,324616610,6,Wednesday
5930,11/26/2015,bottled beer,320716765,11,Thursday
8144,2/12/2015,beef,104216478,2,Thursday
2199,03/30/2015,whole milk,117616524,3,Monday
4549,02/23/2015,frankfurter,305416489,2,Monday
4549,12/2/2015,frankfurter,448616771,12,Wednesday
1733,12/5/2015,other vegetables,158016774,12,Saturday
4549,11/2/2015,frankfurter,162316741,11,Monday
2199,11/24/2015,whole milk,416916763,11,Tuesday
4549,01/24/2015,frankfurter,225416459,1,Saturday
1733,11/1/2015,other vegetables,409516740,11,Sunday
8147,11/17/2015,bottled water,126416756,11,Tuesday
7292,1/6/2015,pork,337516441,1,Tuesday
8147,05/23/2015,bottled water,324216578,5,Saturday
1733,6/7/2015,other vegetables,222716593,6,Sunday
4417,12/3/2015,hamburger meat,384716772,12,Thursday
4417,05/31/2015,hamburger meat,389716586,5,Sunday
1172,09/27/2015,shopping bags,179916705,9,Sunday
2199,04/26/2015,whole milk,292016551,4,Sunday
7353,01/31/2015,ice cream,371316466,1,Saturday
8093,11/5/2015,pastry,423016744,11,Thursday
9301,03/18/2015,ham,145516512,3,Wednesday
4549,03/18/2015,frankfurter,368716512,3,Wednesday
2464,8/1/2015,sausage,386916648,8,Saturday
5930,10/14/2015,bottled beer,298816722,10,Wednesday
8147,03/30/2015,bottled water,424216524,3,Monday
1821,12/24/2015,meat,411816793,12,Thursday
1592,10/24/2015,dessert,499616732,10,Saturday
1733,3/4/2015,other vegetables,448916498,3,Wednesday
7271,11/9/2015,beverages,119916748,11,Monday
9301,5/12/2015,ham,410816567,5,Tuesday
9782,6/5/2015,specialty bar,348416591,6,Friday
1865,08/31/2015,brown bread,123916678,8,Monday
2199,12/19/2015,whole milk,483916788,12,Saturday
8730,5/7/2015,rolls/buns,474816562,5,Thursday
5930,6/6/2015,bottled beer,442616592,6,Saturday
5218,12/11/2015,pet care,357116780,12,Friday
6341,6/8/2015,citrus fruit,285216594,6,Monday
7292,05/26/2015,pork,363816581,5,Tuesday
1733,3/10/2015,other vegetables,363516504,3,Tuesday
9970,5/7/2015,white wine,272316562,5,Thursday
2199,3/11/2015,whole milk,349516505,3,Wednesday
3472,11/16/2015,pip fruit,281316755,11,Monday
9048,9/2/2015,sugar,279916680,9,Wednesday
7325,05/22/2015,tropical fruit,472316577,5,Friday
1851,4/8/2015,root vegetables,331316533,4,Wednesday
5655,12/15/2015,soda,474816784,12,Tuesday
2199,02/16/2015,whole milk,299116482,2,Monday
7325,4/1/2015,tropical fruit,148316526,4,Wednesday
3277,10/1/2015,white bread,395016709,10,Thursday
1865,01/16/2015,brown bread,163416451,1,Friday
7325,11/21/2015,tropical fruit,269416760,11,Saturday
3893,10/18/2015,domestic eggs,270716726,10,Sunday
3059,07/16/2015,coffee,281316632,7,Thursday
5655,1/11/2015,soda,227616446,1,Sunday
2199,2/6/2015,whole milk,472616472,2,Friday
5930,05/25/2015,bottled beer,435316580,5,Monday
7292,08/13/2015,pork,401716660,8,Thursday
1733,08/21/2015,other vegetables,142216668,8,Friday
2703,03/15/2015,yogurt,271416509,3,Sunday
3958,07/21/2015,sparkling wine,276916637,7,Tuesday
8147,04/30/2015,bottled water,416616555,4,Thursday
6341,3/2/2015,citrus fruit,361416496,3,Monday
4417,9/5/2015,hamburger meat,436116683,9,Saturday
8128,09/22/2015,packaged fruit/vegetables,192216700,9,Tuesday
1733,9/6/2015,other vegetables,472816684,9,Sunday
5655,8/8/2015,soda,364616655,8,Saturday
2199,8/10/2015,whole milk,115516657,8,Monday
6415,6/11/2015,herbs,211916597,6,Thursday
6341,08/29/2015,citrus fruit,160216676,8,Saturday
2400,06/24/2015,misc. beverages,107416610,6,Wednesday
4010,4/11/2015,female sanitary products,225616536,4,Saturday
5655,09/17/2015,soda,134816695,9,Thursday
